Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 600 | Raw Crowd Count: 1.00 | Raw Flow Mag: 11.9977
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 606 | Raw Crowd Count: 1.00 | Raw Flow Mag: 10.7762
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 612 | Raw Crowd Count: 1.00 | Raw Flow Mag: 12.3982
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 618 | Raw Crowd Count: 1.00 | Raw Flow Mag: 11.3906
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 624 | Raw Crowd Count: 1.00 | Raw Flow Mag: 11.7286
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 630 | Raw Crowd Count: 1.00 | Raw Flow Mag: 10.7017
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 636 | Raw Crowd Count: 1.00 | Raw Flow Mag: 11.3936
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 642 | Raw Crowd Count: 1.00 | Raw Flow Mag: 13.5450
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 648 | Raw Crowd Count: 2.00 | Raw Flow Mag: 11.6673
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 654 | Raw Crowd Count: 2.00 | Raw Flow Mag: 10.9348
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 660 | Raw Crowd Count: 2.00 | Raw Flow Mag: 10.7722
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 666 | Raw Crowd Count: 2.00 | Raw Flow Mag: 10.9181
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 672 | Raw Crowd Count: 2.00 | Raw Flow Mag: 12.0636
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 678 | Raw Crowd Count: 3.00 | Raw Flow Mag: 10.5068
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 684 | Raw Crowd Count: 3.00 | Raw Flow Mag: 10.3573
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 690 | Raw Crowd Count: 3.00 | Raw Flow Mag: 10.0528
